"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см",Примечание,,,,,,
Ideal 250/7,Ziess Ikon,Фотоаппарат,1927,1938,Германия,Дрезден,161,,,,1289,160х120х50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,130,Пластина,,Carl Zeiss Jena,"620621
258646","1:4,5","13,5",,,,,,,
Ideal,ICA A-G,Фотоаппарат,1927,1938,Германия,,162,,,,1938,220х165х60,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,14х19,130,Пластина,Compound,"
Carl Zeiss Jena Doppel Amatar ",124864,"1:6,8",18.0,На фотоаппарате металлическая реклама с изображением герба РФ и адресами,,,,,,
Certo,Certo,Фотоаппарат,,,Германия,Дрезден,163,,,,1309,155x110x50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,160,Пластина,Compur,Tessar Carl Zeiss Jena,"228258
258646
222450","1:6,3",13.5,,,,,,,
Cartridge Kodak №3,Kodak,Фотоаппарат,1900,1907,Германия,,164,,,3219,1378,210x160x85,"Однообъективная, горизонтальная",С раздвижным мехом,"Красное дерево, сталь, кожа",Форматная,9х12,140,Пленка,,Optical Co. Rapid,,,,Изнутри на крышке наклейка с названием производителя,,,,,,
Halloh 510,ICA A-G,Фотоаппарат,1914,1926,Германия,,165,,,,970,195х110х40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,95,Пластина,JCA,Zeiss-Icar,207421,"1:6,3",13.5,,,,,,,
,Voigtländer,Фотоаппарат,,,Германия,Мюнхен,166,,,,526,125x90x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,120,Пластина,IBSOR,Doppel Anastigmat Eurynar,"311430
408556","1:4,5","10,5",,,,,,,
Original Gauthien,,Фотоаппарат,,,Германия,,167,,,152867,907,220x145,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,210,Пластина,,Jhagee-Anastigmat,23553,"1:4,5","13,5",,,,,,,
Jerie 4,TAUBER,Фотоаппарат,1910,,Германия,,168,,,,2348,240x215x75,"Однообъективная, вертикальная",С раздвижным мехом,Дерево,Форматная,12х18,250,Пластина,,Rapid Aplanat,,1:8,,,,,,,,
Premo,Premo Camera,Фотоаппарат,1903,,США,,169,,,,1923,220х190х50,"Однообъективная, вертикальная",С раздвижным мехом,Дерево,Форматная,12х18,340,Пластина,,Bausch & Lomb-Zeiss Tessar,"385672
1259015",,,,,,,,,
Pony Premo №4,Kodak Premo,Фотоаппарат,1898,1912,США,,170,,,,1891,210x200x90,"Однообъективная, вертикальная",С раздвижным мехом,Дерево,Форматная,12х18,150,Пластина,,Auto,,,,,,,,,,
Rayment*s Patent,PERKEN,Фотоаппарат,1886,1989,Великобритания ,Лондон,171,,,,1505,220х220х60,"Однообъективная, вертикальная",С раздвижным мехом,Дерево,Форматная,12х18,200,Пластина,,,,,,,,,,,,
Mentor Reflex,GOLTZ,Фотоаппарат,1898,,Германия,Дрезден,172,,,,2698,190x180x140,Зеркальный,С раздвижным мехом,"Дерево, латунь",Форматная,9х12,70,Пластина,,Tessar,513458,"1:4,5",16.5,,,,,,,
,,Фото  в рамке,,,,,173,,,,,,,,,,,,,,,,,,Семейное фото. Начало XX века,,,,,,
Weita,Voigtländer,Фотоаппарат,,,Германия,Мюнхен,174,,,,1058,155х115х55,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, дерево",Форматная,9х12,220,Пластина,Compur, Dialitar Serie T,"202413
2286055","1:4,5",15,,,,,,,
Avus,Voigtländer,Фотоаппарат,,,Германия,Брауншвейг,175,,,,674,140x110x45,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,150,Пластина,,Anastigmat,135905,"1:6,8","13,5",,,,,,,
Eurynar,G Rodenstock,Фотоаппарат,,,Германия,,176,,,258646,1100,180x130x50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, дерево",Форматная,9х12,150,Пластина,Compur,Anastigmat Eurynar,273697,"1:4,5",16.5,,,,,,,
Anschütz,C.P.Goerz,Фотоаппарат,1896,1910,Германия,,177,,,26329,1591,165x145x100,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,60,Пластина,,Anastigmat Serie III,182536,"1:6,8",12.0,,,,,,,
ФКД,"Харьковский 
Совнархоз Фотофабрика",Фотоаппарат,1963,,СССР,Харьков,178,,,8062,3128,370х240х120,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, сталь",Форматная,13х18,240,Пластина,,Индустар 51,600155,"1:4,5",21,,,,,,,
Mentor Panorama,Mentor Fabrik GOLTZ & BREUTMANN,Фотоаппарат,1965,1980,Германия,"Берлин, Дрезден",179,,,,6016,300x240x135,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, сталь",Форматная,13х18,200,Пластина,,ОБЪЕКТИВ НУЖНО ВЫКРУТИТЬ С КАМЕРЫ - ОН ВНУТРИ ОСТАЛСЯ,,,,,,,,,,
ФКД,Минприбор ,Фотоаппарат,1979,,СССР,Харьков,180,,,,3128,,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, сталь",Форматная,13Х18,,Пластина,,Индустар 51,,"1:4,5",21.0,,,,,,,
,Voigtländer,Фотоаппарат,,,Германия,,181,,,,3128,,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, сталь",Форматная,9х12,,Пластина,IBSOR,,,,,,,,,,,
Billy II Jgetar,Agfa,Фотоаппарат,1928,1931,Германия,Мюнхен,182,,,,515,160х75х35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,"Плёнка типа 120 (61,5-мм рольфильм)",,Agfa Anastigmat Jgetar,,8.8,,"На лицевой панели оранжевый лейбл Agfa, внутри на крышке наклейка с рекламой пленки Agfa Film.",,,,,,
Roja,Emil Busch ,Фотоаппарат,1897,1907,Германия,,183,,,,797,150x125x60,"Однообъективная, горизонтальная",С раздвижным мехом,"Дерево, сталь",Форматная,9х12,110,Пластина,,Vorm,,,,"На верхней стороне крышки лейбл Торговый Дом А. Климовичъ СПБ, Литейный пр. 22",,,,,,
Jubilette,Balda,Фотоаппарат,1938,,Германия,Мюнхен,184,,,,424,120x85x30,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",20,Плёнка типа 135 (35-мм фотоплёнка),Compur,Copygon-Anastigmat,225602,"1:2,9",5.0,Модель выпущена к 25-летию компании Balda.,,,,,,
Meoskop,Meopto,Стереоскоп,1968,,Чехословакия,,185,,,,150,110х95х70,,,Пластик,,,,,,,,,,,,,,,,
Jhagee,Ziess Ikon,Фотоаппарат,1933,1978,Германия,Дрезден,186,,,,980,150x110x50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,200,Пластина,VARIO,,,,,,,,,,,
Момент,ГОМЗ ,Фотоаппарат,1952,1954,СССР,,187,9000,,,1711,240х115х75,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,"8х10,5",95,Пленка,,Трипплет-26,5403396,"1:6,8","13,5",,,,,,,
Heag VII (1904 г),Ernemann HEAG,Фотоаппарат,1904,1908,Германия,Дрезден,188,,,,8840,155х125х60,"Однообъективная, вертикальная",С раздвижным мехом,"Красное дерево, сталь, кожа",Форматная,9х12,230,Пластина,BOB Trnemann,Aplanat №1,84969,"1:6,8",,,,,,,,
Monopol №9,Hüttig,Фотоаппарат,1903,,Германия,,189,,,56657,1726,240x195x110,"Двухобъективная, вертикальная",Бокс камера,Дерево,Форматная,9х12,,Пластина,,,,,,"На верхней стороне лейбл ""Monopol"" GEBR. M. SCN. №17262",,,,,,
Panoram №1 model D,Kodak,Фотоаппарат,1900,1926,США,,190,,,5167,699,185x110x80,"Однообъективная, горизонтальная",Рольфильм камера,Дерево,Форматная,6х18,,Пленка,,,,,,,,,,,,
Detectiv  ,Ernemann,Фотоаппарат,,,Германия,,191,,,,727,150х115х45,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,220,Пластина,,Aplanat №1,206024,"1:6,8",,"На верхней стороне лейблы Оскаръ Кантъ преем. Вольдемаръ Бауэръ Москва Фуркасовский пер.
",,,,,,есть в витрине
Bessa,Voigtländer,Фотоаппарат,1937,,Германия,Брауншвейг,192,,,,611,160x80x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,Пленка,Compur,"Anastigmat 
Voigtar",987972,"1:4,5",11,,,,,,,
Autigraphic №3,Kodak,Фотоаппарат,1914,1933,США,,193,,,,876,190x110x40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,"8x10,5",95,Пленка,,Anastigmat,3806,,7.7,,,,,,,
ЭФТЭ ,Фототруд,Фотоаппарат,1929,1931,СССР,,194,,,,997,150х115х60,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,110,Пластина,VARIO,Перескоп,,,15,Обклеен зеленым кожзаменителем,,,,,,
Ikonta 520/2,Ziess Ikon,Фотоаппарат,1930,1937,Германия,Дрезден,195,,,,627,165x80x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,70,Пленка,DERVAL,Novar-Anastigmat,947065,"1:6,3","10,5",,,,,,,
Ica Volta 146/1,Ziess Ikon,Фотоаппарат,1914,1932,Германия,Дрезден,196,,,,841,155x110x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,80,Пластина,DERVAL,Novar-Anastigmat,703323,"1:6,3","13,5",,,,,,,
Bessa,Voigtländer,Фотоаппарат,1939,,Германия,Брауншвейг,197,,,,594,,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,75,Пленка,Compur,"Anastigmat
Skopar",670387,"1:4,5","10,5",,,,,,,
Ideal 111,Ziess Ikon,Фотоаппарат,1920,,Германия,Дрезден,198,,,,773,130x90x45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,120,Пластина,Compur,"Carl Zeiss Jena
Tessar",294397,"1:4,5",12,,,,,,,
Арфо-3,(ГОМЗ) Фототруд,Фотоаппарат,1938,,СССР,,199,,,,1113,150х15х60,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,220,Пластина,ГОМЗ,Ортагоз,959915,"1:4,5","13,5",,,,,,,
RIO ,Orionwerk (Voigtländer),Фотоаппарат,1923,,Германия,Брауншвейг,200,,,238039,928,155x115x45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,220,Пластина,Compur,"Anastigmat
Skopar",258252,"1:4,5","13,5",,,,,,,
Certoruf,Certo,Фотоаппарат,1929,,Германия,Дрезден,201,,,,912,160x115x50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,240,Пластина,Compur,Anastigmat Eurynar,257751,"1:4,5",13.5,,,,,,,
Cycle Poco №1 ,Rochester Camera Co,Фотоаппарат,1896,,Великобритания,,202,,,,1100,160х140х75,"Однообъективная, горизонтальная",С раздвижным мехом,"Красное дерево, алюминий",Форматная,9х12,150,Пластина,UNIGUM,Aristostigmat,125560,"1:6,8",12,,,,,,,
Avus,Voigtländer,Фотоаппарат,1927,1935,Германия,Брауншвейг,203,,,,1136,150х115х55,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,180,Пластина,Compur,"Anastigmat
Skopar",408410,"1:4,5","13,5",,,,,,,
ГОМЗ ,ГОМЗ ,Объектив,,,СССР,,204,,,,,,,,,,,,,,,,,,,,,,,,
С. Есенин,Фото-Молния,Зажигалка,,,СССР,,205,,,,,60х40х20,,,,,,,,,,,,,,,,,,,
Фотокор 1,ГОМЗ ,Фотоаппарат,1930,1941,СССР,,206,,,505623,1052,155х110х55,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,145,Пластина,ГОМЗ,Ортагоз,522137,"1:4,5","13,5",,,,,,,
Bergheil ,Voigtländer,Фотоаппарат,1914,1930,Германия,Брауншвейг,207,,,,1377,180х120х50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,10x15,220,Пластина,Compur,Anastigmat Lloyd,172392,"1:6,8",18,,,,,,,
Москва 2,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1947,1956,СССР,"Красногорск, МО",208,,,,866,160х90х45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,Пленка,Момент 1,Индустар 23,5308930,"1:4,5",11,,,,,,,
,Rotu,Штатив ,,,Германия,,209,,,,766,,,,Вороненная и хромированная сталь,,,,,,,,,,,,,,,,
Москва 5,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1956,1960,СССР,"Красногорск, МО",210,,,5911264,867,29x55x21,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,Пластина,Момент 24С,Индустар 24,132165,"1:3,5","10,5",,,,,,,
,,Штатив ,,,,,211,,,,812,,,,Красное дерево ,,,,,,,,,,,,,,,,
Meoskop,Meopto,Набор стерео изображений,1968,,Чехословакия,,212,,,,,,,,Бумага,,,,,,,,,,,,,,,,
Индустар 37,,Объектив,1960,,СССР,,216,,,,1391,,,,,,,,,,,602865,"1:4,5",30,,,,,,,
Heliar,Voigtländer,Фотоаппарат,,,Германия,Брауншвейг,217,,,,,380х350х120,"Однообъективная, горизонтальная",С раздвижным мехом,Дерево,Форматная,18x24,450,Пластина,,Heliar,104900,"1:4,5",36.0,Фотография начала XX века,,,,,,
Heag II Seria II,Ernemann,Фотоаппарат,1911,,Германия,Дрезден,219,,,,817,150x110x45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,110,Пластина,,Anastigmat Velar,43381,"1:6,8",13.5,,,,,,,
Kodak Junior II,Kodak,Фотоаппарат,1954,1959,Англия ,Лондон,220,,,,581,150х90х40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,Пленка,Pronto,Anaston Mount 320,,"1:4,5",10.5,,,,,,,
Bergheil,Voigtländer,Фотоаппарат,1915,1930,Германия,Брауншвейг,221,,,,878,125x95x60,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,170,Пластина,Compur,Heliar,638024,"1:3,5","10,5",,,,,,,
FT-2,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1958,1965,СССР,"Красногорск, МО",222,,,,1030,,"Однообъективная, горизонтальная, панорамная",,"Алюминий, сталь",Малоформатная,2.4х11,,Пленка,,Индустар-50,,,5,,,,,,,
Москва 2,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1947,1956,СССР,"Красногорск, МО",223,,,,852,160х90х45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,Пленка,Момент 1,Индустар 23,5506479,"1:4,5",11,,,,,,,
 Bullet №2,Kodak Bullet,Фотоаппарат,1895,1896,США,Ню-Йорк,224,,,,716,145х120х115,"Однообъективная, вертикальная",Бокс камера,"Дерево, кожа",Форматная,6х9,,Пленка,,,,,,,,,,,,
Fordinar,Dr.Aug Nagel,Фотоаппарат,1928,,Германия,,225,,,,645,120x80x40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,160,Пластина,Ibsor,Lauder Anastigmat ,352864,"1:4,5",10.5,,,,,,,
Смена 8М,"ЛОМО, Ленинградский Оптико-механический завод",Фотоаппарат,1970,1990,СССР,Ленинград,226,,,,382,110х80х60,"Однообъективная, горизонтальная",,"Алюминий, пластик",Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Триплет «Т-43» ,,1:4,16,,,,,,,
"Billy Record 7,7",Agfa Billy,Фотоаппарат,1933,1942,Германия,Мюнхен,227,,,,550,165х88х37,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,"Плёнка типа 120 (61,5-мм рольфильм)",Compur,Agfa Anastigmat Jgestar,,,7.7,Реклама на внутренней стороне крышки Isochrom B2  и Superpan B2,,,,,,
Billy II Jgetar,Agfa,Фотоаппарат,1928,1931,Германия,Мюнхен,228,,,,515,160x75x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,"Плёнка типа 120 (61,5-мм рольфильм)",,Agfa Anastigmat Jgetar,,,8.8,"На лицевой панели оранжевый лейбл Agfa, внутри на крышке наклейка с рекламой пленки Agfa Film.",,,,,,
Киев 4А (модель №1),Арсенал,Фотоаппарат,1958,1974,СССР,Киев,229,,,,700,140х85х70,"Однообъективная, горизонтальная",,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Юпитер 8М,7101733,,9,,,,,,,
Jiffy Six-20,Kodak,Фотоаппарат,1933,1937,США,,230,,,,531,155х80х35,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,60,Пленка,,Twindar Lens,,,,,,,,,,
Фотокор №2,ГОМЗ,Фотоаппарат,1939,1940,СССР,Ленинград,231,,,,,,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,,Пластина,ТЕМП,Анастигмат ВООМП,,"1:4,5",13.5,,,,,,,
Москва 5,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1956,1960,СССР,,232,,,5858067,885,160х90х45,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,100,Пленка,Момент 24С,Индустар 24,22973,"1:3,5","10,5",,,,,,,
Ernemann Clapp,Ernemann,Фотоаппарат,1922,,Германия,,233,,,,3720,240х170х150,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, дерево, кожа",Форматная,12х18,120,Пленка,,Carl Zeiss Jena № 1 ,14229,"1:4,5",21.0,,,,,,,
Praktiflex,Kamera Werkstätten Guthe & Thorsch,Фотоаппарат,1938,1948,Германия,,234,,,32265,727,150x90x65,"Однообъективная, горизонтальная",Жесткий,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Victar,,"1:2,9",5.0,,,,,,,
Retina II,Kodak,Фотоаппарат,1936,1939,Германия,,235,,,,580,120x80x40,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",20,Плёнка типа 135 (35-мм фотоплёнка),Compur-Rapid,Retana-Xenon,1306293,1:2,5.0,,,,,,,
Standard (модель 208),Agfa,Фотоаппарат,1926,1933,Германия,Мюнхен,236,,,,1143,150x100x55,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,130,Пластина,Everset,Doppel Anastigmat,338980,"1:4,5",13.5,"При раскрытом фотоаппарате отчетливо видна надпись заглавными буквами ""Стандарт"".",,,,,,
Automatic 350,Polaroid,Фотоаппарат,1969,,США,,237,,,BG486643,1157,190x120x65,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,95,Пластина,,,,,8.8,,,,,,,
Зоркий,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1948,1956,СССР,"Красногорск, МО",238,,,446499,883,150х100х80,"Однообъективная, горизонтальная",,"Алюминий, пластик",Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Индустар 22,7095626,"1:3,5",5,,,,,,,
,Carl Zeiss,Приставка стереоскопическая,,,Германия,,239,,,40395,427,,,,,,,,,,,,,,,,,,,,
Спутник-стерео,ЛОМО-ГОМЗ ,Фотоаппарат,1955,1975,СССР,,240,85000,,,806,140х75х50,Трехобъективный,Стерео зеркальный,Бакелит,Форматная,"6х6,
6х6",,Пленка,,Т-22,96048,"1:4,5","7,5",,,,,,,
Nettar 515,Ziess Ikon,Фотоаппарат,1937,,Германия,Дрезден,241,,,,430,120x8535,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,"4,5х6",40,Пленка,KLIO,Nettar-Anastigmat,,"1:4,5","7,5",,,,,,,
Autographic Kodak A116 ,Kodak,Фотоаппарат,1914,1927,США,,242,,,,763,200х90х40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,80,Пленка,Kodak Ball Bearing Shuttea,Rapid RectilinearBausch,,,,,,,,,,
Weiti,Welta,Фотоаппарат,1929,,Германия,,243,,,2762,624,110x75x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",15,Плёнка типа 135 (35-мм фотоплёнка),Cludor,Trioplan ,1151103,"1:2,9",5,,,,,,,
Спутник-стерео,ЛОМО-ГОМЗ ,Фотоаппарат,1955,1975,СССР,,244,,,,806,150х100х95,Трехобъективный,Стерео зеркальный,Бакелит,Форматная,"6х6,6х6",,Пленка,,Т-22,74110,"1:4,5","7,5",,,,,,,
Москва 5,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1956,1960,СССР,,245,,,5809934,885,160х90х45,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,100,Пленка,Момент 24С,Индустар 24,63613,"1:3,5","10,5",,,,,,,
Wirgin Auta,Gebrüder Wirgin,Фотоаппарат,1935,,Германия,,246,,,,621,155x75x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,"Плёнка типа 120 (61,5-мм рольфильм)",Vario,Anastigmat Gewironar,,"1:6,3",10.5,,,,,,,
Retinetto 147,Kodak,Фотоаппарат,1947,,Германия,,247,,,,390,120x75x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",15,Плёнка типа 135 (35-мм фотоплёнка),,Kodak Anastigmat ,1454598,"1:4,5",5.0,,,,,,,
Zorki 4K,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1956,1973,СССР,"Красногорск, МО",248,,,74719828,883,150х100х80,"Однообъективная, горизонтальная",,"Алюминий, пластик",Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Индустар 50,7469881,"1:3,5",5,,,,,,,
Bessa,Voigtländer,Фотоаппарат,1939,,Германия,Брауншвейг,249,,,,623,160x80x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,Пленка,Compur,"Anastigmat 
Voigtar",987972,"1:4,5",11,,,,,,,
Москва 2,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1947,1956,СССР,"Красногорск, МО",250,,,,840,160х90х45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,75,Пленка,Момент -1,Индустар -23,5507125,"1:4,5",11,,,,,,,
Miroflex,Ziess Ikon,Фотоаппарат,1927,1936,Германия,Дрезден,251,,,,2545,190x140x125,Зеркальная клапп камера,С раздвижным мехом,"Алюминий, дерево",Форматная,9х12,60,Пластина,,Carl Zeiss Tessar,739323,"1:3,5","16,5",,,,,,,
