"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см"
Чайка фотовспышка,БелОМО,Другое,1965,1974,СССР,,530,,,7969-2-72,1188,180х150х65,,"Алюминий, пластмасса",,,,,,,,,,
Nettel,Zeiss Ikon,Фотоаппарат,1910,,Германия,,531,,,21054,1052,175х110х55,"Двухобъективный, горизонтальный",С раздвижным мехом,"Дерево, алюминий, медь, сталь",Среднеформатная,6х12,40,Плёнка,,Tessar,"289584,289587","1:4,5",12.0
Dr.R.Krugener,Agfa,Фотоаппарат,,,Германия,Франкфурт-на-Майне,532,,,,848,150х120х50,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, алюминий, сталь",Среднеформатная,9х12,100,Пластина,,Rapid-Aplanat,,,
Краб корпус для фотоаппарата,ЛОМО,Другое,1980,,Китай,,533,,,,382,155х130х70,"Однообъективный, горизонтальный",Жесткий,Пластмасса,,,,,,,,,
Ideal,Zeiss Ikon,Фотоаппарат,1930,,Германия,,534,,,Р 77407,1022,135х90х75,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,6х9,120,"Пластина, плёнка",Compur,Tessar,1082977,"1:4,5",12.0
Ica Maximar 207/1,Zeiss Ikon,Фотоаппарат,1914,1926,Германия,,535,,,,888,160x110x50,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,9х12,110,Пластина,,Novar,727807,"1:6,3",13.5
Фонарь,ФЭД,Другое,,,СССР,,536,,,,1343,220х160х160,,,Алюминий,,,,,,,,,
Mini Сamera,Zeiss Ikon,Фотоаппарат,,,Германия,,537,,,,840,180х130х50,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, медь",Среднеформатная,9х12,150,Пластина,,,,,
Пленка для фотоаппарата Киев,Арсенал,Другое,,,СССР,Киев,541,,,,55,50х30х30,,,Пластмасса,,,,,,,,,
Mikar,Pzo Warszawa,Объектив,,,Польша,Варшава,542,,,223399,79,40x40x50,,,"Пластмасса, алюминий, стекло",,,,,,,,"1:4,5",5.5
Amar,Pzo Warszawa,Объектив,,,Польша,Варшава,543,,,702008,94,45x40x50,,,"Пластмасса, алюминий, стекло",,,,,,,,"1:4,5",10.5
Фото пластинки,Завод Технических Фотопластинок,Другое,1969,,СССР,Москва,544,,,,336,100х100х30,,,Стекло,,,,,,,,,
Фото пластинки,Завод Технических Фотопластинок,Другое,1969,,СССР,Москва,545,,,,336,100х100х30,,,Стекло,,,,,,,,,
Ленинград ,Завод Вибратор,Экспонометр,,,СССР,,546,,,,151,80х60х30,,,"Пластмасса, алюминий",,,,,,,,,
Ideal,Hüttig AG,Фотоаппарат,1905,,Германия,Дрезден,547,,,,879,160х115х35,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, алюминий, сталь",Среднеформатная,9х12,100,Пластина,,Helios,126895,1:8,13.0
Objectif Menisque,Goldy,Фотоаппарат,,,Франция,,548,,,,422,105x80x115,"Однообъективный, вертикальный",Бокс камера,"Алюминий, кожа, сталь",Среднеформатная,6х9,,Плёнка,,,,,
Mercur,Hüttig AG,Фотоаппарат,1904,,Германия,,549,,,С 95563,583,140х80х190,"Однообъективный, вертикальный",Бокс камера,"Дерево, алюминий, кожа",Среднеформатная,9х12,,Пластина,,,,,
300 Instant Camera,Polaroid,Фотоаппарат,,,Китай,,550,,,,322,115х115х80,"Однообъективный, вертикальный",Бокс камера,Пластмасса,Среднеформатная,4x6,,Кассета,,,,,
Агат 18К,БелОМО,Фотоаппарат,1984,1989,СССР,,551,,,,190,60х95х45,"Однообъективный, горизонтальный",Жесткий,Пластмасса,Малоформатная,"1,8х2,4",,Плёнка,,Индустар-104,,"1:2,8",2.8
Rekam Inc.,Rekam,Фотоаппарат,,,Канада,,552,,,,136,110х65х45,"Однообъективный, горизонтальный",Жесткий,Пластмасса,Малоформатная,"2,4х3,6",,Плёнка,,,,,
Brownie Flash III,Kodak,Фотоаппарат,1940,,Англия,Лондон ,553,,,,521,75х100х115,"Однообъективный, вертикальный",Бокс камера,"Алюминий, кожа, сталь",Среднеформатная,6х9,,Плёнка,,,,,
Vidanar,Friedrich Deckel,Фотоаппарат,,,Германия,Мюнхен,554,,,,339,105х65х45,"Однообъективный, горизонтальный",С раздвижным мехом,"Алюминий, кожа, сталь",Малоформатная,3х4,15,Плёнка,Compur,Vidanar,76033,"1:2,9",5.0
Ensignette,Houghtons,Фотоаппарат,1911,1912,Британия,,555,,,,243,100х45х30,"Однообъективный, горизонтальный",С раздвижным мехом,"Медь, сталь",Малоформатная,"2,4х3,6",50,Плёнка,,,,"1:5,8",5.0
Ikonta 520/2,Zeiss Ikon,Фотоаппарат,,,США,,556,,,,571,85х160х35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,6х9,70,Плёнка,Derval,Novar-Anastigmat,,"1:6,3",10.5
Korelle,Friedrich Deckel,Фотоаппарат,,,Германия,Мюнхен,557,,,,455,65х125х45,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,4х6,35,Плёнка,Compur,Radionar,461859,"1:2,9",7.5
Karat,Agfa,Фотоаппарат,,,Германия,,558,,,FM7924,396,120х70х45,"Однообъективный, горизонтальный",С раздвижным мехом,"Алюминий, бакелит, сталь",Малоформатная,"2,4х3,6",15,Плёнка,,,,,
Kodak Duo 620,Kodak,Фотоаппарат,1933,,США,,559,,,193478К,563,120х90х40,"Однообъективный, горизонтальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,4х6,35,Плёнка,Compur,Kodak-Anastigmat,1225129,"1:4,5",7.5
Brillantar,Vitaflex,Фотоаппарат,,,Германия,,560,,,,707,70х125х95,"Двухобъективный, вертикальный",Бокс камера,"Алюминий, кожа, сталь",Среднеформатная,6х6,,Плёнка,,Anastigmat,262261,"1:3,5",7.5
№3 brownie,Kodak,Фотоаппарат,1894,1902,США,,561,,,,670,110х130х155,"Однообъективный, вертикальный",Бокс камера,"Дерево, алюминий, кожа",Среднеформатная,9х12,,Плёнка,,,,,
Selenium,Zeiss,Экспонометр,1950,,Германия,,562,,,,139,60х80х30,,,Пластмасса,,,,,,,,,
Posemwtre,LMT,Экспонометр,1940,,,,563,,,,153,55х80х25,,,Пластмасса,,,,,,,,,
Pleaser ,Kodak,Фотоаппарат,1977,1982,США,,564,,,,818,170х140х140,"Однообъективный, горизонтальный",Жесткий,Пластмасса,Среднеформатная,6х9,,Плёнка,,,,,
Eos,EOS,Экспонометр,,,,,565,,,,98,50х70х25,,,Пластмасса,,,,,,,,,
Мозаичные светофильтры,Московский Завод Технических Фотопластинок,Другое,1990,,СССР,,566,,,,202,95х95,,,Стекло,,,,,,,,,
Мозаичные светофильтры,Московский Завод Технических Фотопластинок,Другое,1990,,СССР,,567,,,,211,95х95,,,Стекло,,,,,,,,,
Tenax,Zeiss Ikon ,Фотоаппарат,,,Германия,Берлин,568,,,,1093,110х155х45,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,6х9,90,Пластина,Compur,DiaLytar,64700,"1:4,5",13.5
Jhagee,Exacta,Фотоаппарат,,,Германия,Дрезден,569,,,632708,757,145х85х75,"Однообъективный, горизонтальный",Жесткий,"Алюминий, кожа, сталь",Малоформатная,"2,4х3,6",,Плёнка,,Tessar,,"1:3,5",5.0
Le Glyphoscope,J.Richard,Фотоаппарат,,,Париж,,570,,,24894,458,135x60x75,"Двухобъективная, горизонтальная, стерео",Жесткий,Медь,Среднеформатная,"4,5х4,5",,Пластина,,,,,
Jdeal 250/3,Zeiss Ikon,Фотоаппарат,,,Германия,,571,,,,794,90x125x45,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,6х9,75,Пластина,Compur,Tessar,1094-75,"1:4,5",12.0
Aplonat №2,Rapid Weitwinkel,Фотоаппарат,,,Германия,,572,,,,740,130x165x60,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, медь",Среднеформатная,9х12,120,Пластина,Rapid ,,,,
Junka,Junka-Werke,Фотоаппарат,1930,,Германия,Нюрнберг,573,,,,141,90х55х45,"Однообъективный, горизонтальный",Жесткий,Алюминий с покрытием,Малоформатная,3х4,,Плёнка,,,,"1:8,0",4.5
Bomela Ko Livolsky,Bomela Ko Livolsky,Фотоаппарат,,,Франция,,574,,,,1696,175х245х60,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, медь",Форматный,12х18,220,Пластина,,,,,
Мetrostyle,Choralion Company m.b.H,Другое,1821,,Германия,Берлин,575,,,,776,340х60,,,,,,,,,,,,
Еhemodist,Choralion Company m.b.H,Другое,,,Германия,,576,,,,778,340х60,,,,,,,,,,,,
"Диаскоп 2 ""Ленинград""","Завод ""ОРГТЕХНИКА""",Другое,,,СССР,,577,,,,36,100х50х15,,,,,,,,,,,,
Ёлочка,Оборонная промышленность Советского Союза,Фотоаппарат,,,СССР,,579,,,,692,220х75х65,"Однообъективный, горизонтальный",Жесткий,"Алюминий, сталь",Форматный,"18х24 (2х2,5)",,Плёнка,,Индустар ,40310,"1:5,6",3.0
Vitoret,Voigtländer,Фотоаппарат,,,Германия,,580,,,448985,558,125х90х70,"Однообъективный, горизонтальный",Жесткий,"Алюминий, сталь",Малоформатная,"2,4х3,6",,Плёнка,Prontor 125,Color-Lanthar,,"1:2,8",5.0
Karat,Agfa,Фотоаппарат,,,Германия,,581,,,CR 9327,445,115х70х55,"Однообъективный, горизонтальный",С раздвижным мехом,"Алюминий, сталь",Малоформатная,"2,4х3,6",10,Плёнка,Compur,Solinar,697292,"1:3,5",5.0
Фото-фонарь,Промкомбинат Дзержинского,Другое,1932,,СССР,Ленинград,582,,,,760,210х110х160,,,"Жесть, дерево",,,,,,,,,
Ombrux,Orig. Gossen,Экспонометр,1933,,Германия,,583,,,,182,60х75х30,,,Пластмасса,,,,,,,,,
Detektiv,Ernemann,Фотоаппарат,,,Германия,,584,,,,356,70х90х40,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, сталь",Среднеформатная,4х6,50,Пластина,"Ckronos""C""",Aplanet,573500,"1:6,8",8.0
Vest Pocket,Kodak,Фотоаппарат,1902,,США,,585,,,470558,324,120х65х25,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, сталь",Малоформатная,"2,4х3,6",60,Плёнка,,,,,
Premo,Kodak,Фотоаппарат,1902,,США,,586,,,2262,899,135х160х50,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, сталь",Среднеформатная,4х5,120,Пластина,,Kodak Anastigmat,81328,"1:7,7",15.2
Bergheil,Voigtländer,Фотоаппарат,1933,,Германия,,587,,,,1219,115х155х50,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,6х9,110,Пластина,Compur,Voigtländer Anastigmat,713685,"1:4,5",10.5
Box-Tengor 54/2,Zeiss Ikon,Фотоаппарат,,,Германия,,588,,,,527,75х105х115,"Однообъективный, вертикальный",Бокс камера,"Алюминий, кожа, сталь",Среднеформатная,6х9,,Плёнка,,,,,
Валик для накатки фотографий,,Другое,,,СССР,,591,,,,218,190х175х35,,,"Дерево, резина",,,,,,,,,
Ф21,КМЗ,Фотоаппарат,,,СССР,,592,,,П96162,183,70х55х40,"Однообъективный, вертикальный",Жесткий,"Алюминий, кожа",Малоформатная,"1,8х2,4",,Плёнка,,,,,
Ikonta 520/2,Zeiss Ikon,Фотоаппарат,,,США,,593,,,,619,85х160х35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,6х9,70,Плёнка,Derval,Novar-Anastigmat,936608,"1:6,3",10.5
Periscop-Aplanat,CM&Co,Фотоаппарат,,,,,594,,,,625,120x150x45,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,9x12,130,Пластина,,,,,
Bergheil,Voigtländer,Фотоаппарат,,,Германия,,595,,,,1152,110x150x55,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,9x13,140,Пластина,Compur,Skopar,663734,"1:4,5",10.5
Search Results,Kamera Werkstatten,Фотоаппарат,1920,,Германия,Дрезден,596,,,,435,90x120x35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,6x9,80,Пластина,Ibsor,,402227,"1:4,5",10.5
Визуальный Э201 ,Рапри,Экспонометр,,,СССР,Москва,597,,,9851-79,131,95х130х40,,,Пластмасса,,,,,,,,,
Binolux 115 115,Binolux,Бинокль,,,Англия,,598,,,333120,413,130x65x55,,,"Пластмасса, алюминий, сталь",,,,,,,,,
AF-2 ,Univex,Фотоаппарат,1930,1940,США,,599,,,,165,55x95x20,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа",Малоформатная,"2,4х3,6",30,Плёнка,Snap,,,,
Minuts 16,Universal Camera Corporation,Фотоаппарат,1950,,США,,600,,,,185,25x45x70,"Однообъективный, вертикальный",Жесткий,Алюминий,Малоформатная,"1х1,8",,Плёнка,,,,,
Киев-Вега,Арсенал,Фотоаппарат-Фонарик,,,,,601,,,,269,70х105х25,,,Алюминий,,,,,,,,,
Baldessa,Balda,Фотоаппарат,1958,,Германия,,602,,,66776,558,120x90x65,"Однообъективный, вертикальный",Жесткий,"Алюминий, кожа, сталь",Малоформатная,"2,4х3,6",,Плёнка,Prontor-SLK,Baldanar,,"1,2:8",4.5
Brownie Reflex Synchro,Kodak,Фотоаппарат,1940,1952,США,,603,,,,421,90x120x50,"Однообъективный, вертикальный",Жесткий,"Алюминий, кожа, сталь",Малоформатная,3x4,,Плёнка,,,,,
Brownie Reflex Synchro,Kodak,Фотоаппарат,1940,1952,США,,604,,,,415,90x120x50,"Однообъективный, вертикальный",Жесткий,"Алюминий, кожа, сталь",Малоформатная,3x4,,Плёнка,,,,,
A-120,Kodak,Фотоаппарат,1902,1917,США,,605,,,251774,609,95x165x30,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа",Среднеформатная,6x9,65,Плёнка,,,14044,,
Foth-Derby,CF & Co.,Фотоаппарат,,,Германия,Берлин,606,,,,452,115х60х30,"Однообъективный, горизонтальный",С раздвижным мехом,"Алюминий, кожа",Среднеформатная,3x4,20,Плёнка,,Foth Anastigmat,,"1:3,5","5,0"
№2 Brownie,Kodak,Фотоаппарат,,,Германия,,607,,,,552,85х125х160,"Однообъективный, вертикальный",Бокс камера,"Дерево, кожа",Среднеформатная,9x12,,Плёнка,,,,,
Смена Символ,ЛОМО,Фотоаппарат,,,СССР,,608,,,,981,190х80х60,"Двухобъективная, горизонтальная, стерео",Жесткий,"Алюминий, бакелит",Среднеформатная,"2,4х3,6",,Плёнка,,Т-43,,,
Компас,,Другое,,,,,613,,,,36,50х50х20,,,Дерево,,,,,,,,,
ТА -57,Телефон,Другое,,,СССР,,614,,,472,2290,220х155х75,,,Пластмасса,,,,,,,,,
Фонарь,СэМаЗ,Другое,1983,,СССР,,615,,,30696,2021,230х130х140,,,Пластмасса,,,,,,,,,
Фотопластина,Фотостудия №1,Другое,1926,,СССР,,618,,,,101,130х180х3,,,Стекло,,,,,,,,,
Фотопленка 65 ,Тасма,Другое,1984,,СССР,,620,,,,17,50х25х25,,,,,,,,,,,,
Проявитель для пленки,"Завод ""Чистых солей""",Другое,,,СССР,,621,,,,63,,,,,,,,,,,,,
Фиксаж кислый,Горпромсовет Горхимпромсоюз,Другое,1954,,СССР,,622,,,,87,,,,,,,,,,,,,
Фотопленка 32,Свема,Другое,1993,,СССР,,623,,,,18,55х35х35,,,,,,,,,,,,
Фотопленка 64,Свема,Другое,1993,,СССР,,624,,,,21,55х35х36,,,,,,,,,,,,
Фотопленка 64,Тасма,Другое,1984,,СССР,,625,,,,17,50х25х25,,,,,,,,,,,,
Фотовспышка ФЭ-26,Данко,Другое,1988,,СССР,,626,,,,136,55х55х30,,,Пластмасса,,,,,,,,,
Фотовспышка Б5-21,Данко,Другое,,,СССР,,627,,,,337,85х75х35,,,Пластмасса,,,,,,,,,
"Пластина ""Дъва Днесь"", ""Задостойнихъ Рождеству Христову""",Зонофон,Другое,,,СССР,Москва - С-Петербург - Рига,628,,,"10243, 10241",,,,,,,,,,,,,,
"Пластина ""Лънь, шуточная пъсня Башарина"", ""За морем синичка,русск. Плясовая пъсня""",Зонофон,Другое,,,СССР,Москва - С-Петербург - Рига,629,,,"223120, 223119",,,,,,,,,,,,,,
"Пластинка ""Стеклянная Струя""","Кисловодская Контора ""Курортторг""",Другое,,,СССР,Кисловодск,631,,,,,,,,,,,,,,,,,
Vintage Camera,Voigtländer,Фотоаппарат,,,Германия,,634,,,,1693,170х240х110,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, медь",Форматный,12х18,220,Пластина,,,,,
Vintage Camera,Zeiss Ikon,Фотоаппарат,,,США,,635,,,,2650,220х265х120,"Однообъективный, горизонтальный",С раздвижным мехом,"Дерево, медь",Форматный,12х18,260,Пластина,Meter,Tessar,451027,"1:4,5",16.5
Euryscope ,Voigtländer,Фотоаппарат,,,Германия,,636,,,,2350,220х250х150,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, медь",Форматный,12х18,240,Пластина,,Eclour №2,,,
Periscop-Altissar,Altissa,Фотоаппарат,1938,,Германия,,641,,,,315,120x70x75,"Однообъективный, вертикальный",Бокс камера,"Алюминий, кожа",Среднеформатная,6x6,,Плёнка,,,,1:8,
Model B,Brownie Camera,Фотоаппарат,1916,,США,,642,,,,563,130x85x160,"Однообъективный, вертикальный",Бокс камера,"Дерево, кожа",Среднеформатная,6x9,,Плёнка,,,,,
Q.R.S. Kamra,Kodak,Фотоаппарат,,,США,Чикаго,643,,,,844,180x70x75,"Двухобъективная, горизонтальная",Жесткий,"Алюминий, бакелит",Малоформатная,"2,4х3,6",,Плёнка,Compur-Rapid,Ektar,"1618443
1640468","1:3,5",8.0
Box Dresden 46,Certo,Фотоаппарат,,,Германия,,644,,,,507,110x70x130,"Однообъективный, вертикальный",Бокс камера,"Дерево, кожа",Среднеформатная,6x9,,Плёнка,,,,,
Часы-Фотоаппарат,,Другое,,,,,645,,,,200,45x60x40,,,Сталь,,,,,,,,,
Ikon,Zeiss Ikon,Фотоаппарат,,,Германия,,646,,,,797,150х110х45,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,9х12,100,Пластина,Derval,Novar-Anastigmat,792743,"1:3,6",13.5
Standard,Agfa,Фотоаппарат,,,Германия,,647,,,668/7,1092,150x100x60,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,9х12,80,Плёнка,,Anastigmat,292309,"1:6,3",13.5
